Etiquette,Presentation (FR)
IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.Prep.PRON_3MF,"marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + préposition [variante de casse] + pronom personnel, 3e pers. masc./fém. sg."
IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.Prep.PRON_3MS,"marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + préposition [variante de casse] + pronom personnel, 3e pers. masc. sg."
IV3FS.IMPERFECT_VERB_MSA.IVSUFF_SUBJ,"marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (arabe standard, MSA) + suffixe sujet du verbe à l'inaccompli"
IV3FS.IV-foreign.IVSUFF_SUBJ,"marqueur de personne à l'inaccompli, 3e pers. fém. sg. + marqueur de personne à l'inaccompli, verbe d'origine étrangère + suffixe sujet du verbe à l'inaccompli"
IV3FS.IV-foreign.IVSUFF_SUBJ.Prep.PRON_1S,"marqueur de personne à l'inaccompli, 3e pers. fém. sg. + marqueur de personne à l'inaccompli, verbe d'origine étrangère + suffixe sujet du verbe à l'inaccompli + préposition [variante de casse] + pronom personnel, 1re pers. sg."
IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ,"marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:1P,"marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. pl.)"
IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:1S,"marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.)"
IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:2MP,"marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. masc. pl.)"
IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:2S,"marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. sg.)"
IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS,"marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3MP,"marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. pl.)"
IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3MS,"marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. sg.)"
IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.Prep.PRON_1S,"marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + préposition [variante de casse] + pronom personnel, 1re pers. sg."
IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.Prep.PRON_2S,"marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + préposition [variante de casse] + pronom personnel, 2e pers. sg."
IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.Prep.PRON_3MF,"marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + préposition [variante de casse] + pronom personnel, 3e pers. masc./fém. sg."
IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ:P,"marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.)"
IV3MS.IMPERFECT_VERB_MSA,"marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (arabe standard, MSA)"
IV3MS.IMPERFECT_VERB_MSA.IVSUFF_SUBJ,"marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (arabe standard, MSA) + suffixe sujet du verbe à l'inaccompli"
IV3MS.IMPERFECT_VERB_MSA.IVSUFF_SUBJ.IVSUFF_DO:1S,"marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (arabe standard, MSA) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.)"
IV3MS.IMPERFECT_VERB_MSA.IVSUFF_SUBJ.IVSUFF_DO:2S,"marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (arabe standard, MSA) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. sg.)"
IV3MS.IMPERFECT_VERB_MSA.IVSUFF_SUBJ.IVSUFF_DO:3FS,"marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (arabe standard, MSA) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
IV3MS.IV-foreign.IVSUFF_SUBJ,"marqueur de personne à l'inaccompli, 3e pers. masc. sg. + marqueur de personne à l'inaccompli, verbe d'origine étrangère + suffixe sujet du verbe à l'inaccompli"
IV3MS.V-foreign.IVSUFF_SUBJ,"marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe conjugué d'origine étrangère + suffixe sujet du verbe à l'inaccompli"
IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P,"marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.)"
IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:1P,"marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. pl.)"
IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:1S,"marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.)"
IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:2MS,"marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. masc. sg.)"
IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:3FS,"marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:3MS,"marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. sg.)"
IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P.Prep.PRON_1S,"marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + préposition [variante de casse] + pronom personnel, 1re pers. sg."
IV3P.IMPERFECT_VERB_MSA.IVSUFF_SUBJ:P,"marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (arabe standard, MSA) + suffixe sujet du verbe à l'inaccompli (pl.)"
NEE.FUT_PART.IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P.NEG,"marque de négation [coquille : NEE pour NEG] + particule du futur + marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + marque de négation"
NEG.ADJ-MSA,"marque de négation + adjectif (arabe standard, MSA)"
NEG.ADJ.IVSUFF_SUBJ,marque de négation + adjectif + suffixe sujet du verbe à l'inaccompli
NEG.ADJ.IVSUFF_SUBJ.NEG,marque de négation + adjectif + suffixe sujet du verbe à l'inaccompli + marque de négation
NEG.ADJ.NSUFF_FEM_SG,marque de négation + adjectif + suffixe nominal féminin singulier
NEG.ADJ.NSUFF_FEM_SG.NEG,marque de négation + adjectif + suffixe nominal féminin singulier + marque de négation
NEG.ADJ.NSUFF_MASC_PL,marque de négation + adjectif + suffixe nominal masculin pluriel
NEG.ADJ.NSUFF_MASC_PL.IVSUFF_DO:3FS.NEG,marque de négation + adjectif + suffixe nominal masculin pluriel + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.) + marque de négation
NEG.ADJ.NSUFF_MASC_PL.NEG,marque de négation + adjectif + suffixe nominal masculin pluriel + marque de négation
NEG.ADV.PRON_1S,"marque de négation + adverbe + pronom personnel, 1re pers. sg."
NEG.ADV.PRON_3FS,"marque de négation + adverbe + pronom personnel, 3e pers. fém. sg."
NEG.ADV.PRON_3MS,"marque de négation + adverbe + pronom personnel, 3e pers. masc. sg."
NEG.FUNC_WORD.PRON_1P,"marque de négation + mot outil / mot fonctionnel + pronom personnel, 1re pers. pl."
NEG.FUNC_WORD.PRON_3FS,"marque de négation + mot outil / mot fonctionnel + pronom personnel, 3e pers. fém. sg."
NEG.FUT_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ,"marque de négation + particule du futur + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
NEG.FUT_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:2S,"marque de négation + particule du futur + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. sg.)"
NEG.FUT_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS.NEG,"marque de négation + particule du futur + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.) + marque de négation"
NEG.FUT_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3MP.NEG,"marque de négation + particule du futur + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. pl.) + marque de négation"
NEG.FUT_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.NEG,"marque de négation + particule du futur + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + marque de négation"
NEG.FUT_PART.IV2FS.IMPERFECT_VERB.IVSUFF_SUBJ:2FS.NEG,"marque de négation + particule du futur + marqueur de personne à l'inaccompli, 2e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (2e pers. fém. sg.) + marque de négation"
NEG.FUT_PART.IV2P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:1P.NEG,"marque de négation + particule du futur + marqueur de personne à l'inaccompli, 2e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. pl.) + marque de négation"
NEG.FUT_PART.IV2S.IMPERFECT_VERB.IVSUFF_SUBJ,"marque de négation + particule du futur + marqueur de personne à l'inaccompli, 2e pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
NEG.FUT_PART.IV2S.IMPERFECT_VERB.IVSUFF_SUBJ.NEG,"marque de négation + particule du futur + marqueur de personne à l'inaccompli, 2e pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + marque de négation"
NEG.FUT_PART.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ,"marque de négation + particule du futur + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
NEG.FUT_PART.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:1S.NEG,"marque de négation + particule du futur + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.) + marque de négation"
NEG.FUT_PART.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.NEG,"marque de négation + particule du futur + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + marque de négation"
NEG.FUT_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ,"marque de négation + particule du futur + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
NEG.FUT_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:1P,"marque de négation + particule du futur + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. pl.)"
NEG.FUT_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:1S.NEG,"marque de négation + particule du futur + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.) + marque de négation"
NEG.FUT_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:2S,"marque de négation + particule du futur + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. sg.)"
NEG.FUT_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS,"marque de négation + particule du futur + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
NEG.FUT_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.NEG,"marque de négation + particule du futur + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + marque de négation"
NEG.FUT_PART.IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P,"marque de négation + particule du futur + marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.)"
NEG.FUT_PART.IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P.NEG,"marque de négation + particule du futur + marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + marque de négation"
NEG.IMPERFECT_VERB.IVSUFF_SUBJ,marque de négation + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli
NEG.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS,marque de négation + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)
NEG.IMPERFECT_VERB.IVSUFF_SUBJ.NEG,marque de négation + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + marque de négation
NEG.IMPERFECT_VERB.IVSUFF_SUBJ:2FS.NEG,marque de négation + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (2e pers. fém. sg.) + marque de négation
NEG.IMPERFECT_VERB.IVSUFF_SUBJ:3MS.IVSUFF_DO:1S.NEG,marque de négation + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (3e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.) + marque de négation
NEG.IMPERFECT_VERB.IVSUFF_SUBJ:P.NEG,marque de négation + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + marque de négation
NEG.IV1.IMPERFECT_VERB.IVSUFF_SUBJ:P.NEG,"marque de négation + marqueur de personne à l'inaccompli, 1re pers. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + marque de négation"
NEG.IV1P.IMPERFECT_VERB.IVSUFF_SUBJ:P,"marque de négation + marqueur de personne à l'inaccompli, 1re pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.)"
NEG.IV1P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:3MS.NEG,"marque de négation + marqueur de personne à l'inaccompli, 1re pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. sg.) + marque de négation"
NEG.IV1P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:3P.NEG,"marque de négation + marqueur de personne à l'inaccompli, 1re pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. pl.) + marque de négation"
NEG.IV1P.IMPERFECT_VERB.IVSUFF_SUBJ:P.NEG,"marque de négation + marqueur de personne à l'inaccompli, 1re pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + marque de négation"
NEG.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ,"marque de négation + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
NEG.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:2MS.NEG,"marque de négation + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. masc. sg.) + marque de négation"
NEG.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS,"marque de négation + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
NEG.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS.NEG,"marque de négation + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.) + marque de négation"
NEG.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.NEG,"marque de négation + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + marque de négation"
NEG.IV1S.IV-MSA.IVSUFF_SUBJ.NEG,"marque de négation + marqueur de personne à l'inaccompli, 1re pers. sg. + marqueur de personne à l'inaccompli (arabe standard, MSA) + suffixe sujet du verbe à l'inaccompli + marque de négation"
NEG.IV1S.IV-foreign.IVSUFF_SUBJ.NEG,"marque de négation + marqueur de personne à l'inaccompli, 1re pers. sg. + marqueur de personne à l'inaccompli, verbe d'origine étrangère + suffixe sujet du verbe à l'inaccompli + marque de négation"
NEG.IV2FS.IMPERFECT_VERB.IVSUFF_SUBJ:2FS,"marque de négation + marqueur de personne à l'inaccompli, 2e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (2e pers. fém. sg.)"
NEG.IV2FS.IMPERFECT_VERB.IVSUFF_SUBJ:2FS.IVSUFF_DO:1S,"marque de négation + marqueur de personne à l'inaccompli, 2e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (2e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.)"
NEG.IV2FS.IMPERFECT_VERB.IVSUFF_SUBJ:2FS.IVSUFF_DO:1S.NEG,"marque de négation + marqueur de personne à l'inaccompli, 2e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (2e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.) + marque de négation"
NEG.IV2FS.IMPERFECT_VERB.IVSUFF_SUBJ:2FS.NEG,"marque de négation + marqueur de personne à l'inaccompli, 2e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (2e pers. fém. sg.) + marque de négation"
NEG.IV2P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:1P.NEG,"marque de négation + marqueur de personne à l'inaccompli, 2e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. pl.) + marque de négation"
NEG.IV2P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:1S.NEG,"marque de négation + marqueur de personne à l'inaccompli, 2e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.) + marque de négation"
NEG.IV2P.IMPERFECT_VERB.IVSUFF_SUBJ:P.NEG,"marque de négation + marqueur de personne à l'inaccompli, 2e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + marque de négation"
NEG.IV2S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:1S,"marque de négation + marqueur de personne à l'inaccompli, 2e pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.)"
NEG.IV2S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:1S.NEG,"marque de négation + marqueur de personne à l'inaccompli, 2e pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.) + marque de négation"
NEG.IV2S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS.NEG,"marque de négation + marqueur de personne à l'inaccompli, 2e pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.) + marque de négation"
NEG.IV2S.IMPERFECT_VERB.IVSUFF_SUBJ.NEG,"marque de négation + marqueur de personne à l'inaccompli, 2e pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + marque de négation"
NEG.IV2S.IMPERFECT_VERB.IVSUFF_SUBJ:2FS.NEG,"marque de négation + marqueur de personne à l'inaccompli, 2e pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (2e pers. fém. sg.) + marque de négation"
NEG.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ,"marque de négation + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
NEG.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:2MS.NEG,"marque de négation + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. masc. sg.) + marque de négation"
NEG.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS.NEG,"marque de négation + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.) + marque de négation"
NEG.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.NEG,"marque de négation + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + marque de négation"
NEG.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ,"marque de négation + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
NEG.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:1P,"marque de négation + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. pl.)"
NEG.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:1S,"marque de négation + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.)"
NEG.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:2MS.NEG,"marque de négation + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. masc. sg.) + marque de négation"
NEG.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS.NEG,"marque de négation + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.) + marque de négation"
NEG.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3MS.NEG,"marque de négation + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. sg.) + marque de négation"
